15	5	0	0	45	5	0	30	7	14	40	40	40	21	50	31	7	65	61	23	112	124	86	82	123	201	233	137	232	139	219	293	283	360	181	277	247	343	272	206	246	163	233	109	134	77	67	59	41	31	12	2	20	16	2	2	1	0	0	0
0	0	8	10	20	0	2	32	3	4	6	30	25	2	0	30	40	16	20	72	32	64	68	81	120	78	117	85	157	149	147	202	278	220	284	251	220	249	240	274	287	377	102	159	161	57	49	22	90	6	37	5	21	10	0	6	0	2	15	2
0	20	20	0	2	10	30	35	9	0	30	19	5	5	12	20	58	13	34	55	35	18	25	104	81	67	127	182	79	180	85	195	113	233	255	263	311	276	246	286	332	297	204	249	237	127	164	111	64	28	20	6	55	25	0	30	7	0	10	0
15	20	10	20	0	0	5	5	2	10	10	9	25	10	10	5	20	20	26	0	34	34	137	81	49	85	117	125	147	133	112	201	207	253	290	142	230	197	181	248	275	142	248	251	269	212	107	103	69	35	14	30	2	32	0	1	10	0	0	10
5	0	0	0	0	2	7	0	2	0	0	0	17	0	5	47	13	22	54	1	44	32	20	75	12	64	73	89	58	84	80	35	121	243	189	173	193	206	201	313	231	219	256	237	322	260	161	141	96	34	77	42	33	20	2	0	0	5	0	0
0	5	5	0	0	5	0	20	0	21	0	7	5	5	10	21	40	30	9	16	61	5	50	32	30	60	33	69	48	58	68	87	207	165	225	190	226	119	204	171	264	217	324	181	262	236	210	135	143	61	76	18	29	21	9	27	2	5	0	0
0	0	0	0	10	0	10	15	0	0	5	0	0	0	4	0	12	6	10	7	44	20	1	5	52	40	25	44	52	76	73	79	173	131	160	87	170	185	200	253	95	228	236	185	223	178	254	122	179	102	84	77	42	46	11	5	0	1	0	10
5	0	0	0	0	0	0	0	10	0	5	5	2	3	1	4	35	0	2	25	42	0	12	35	15	62	20	20	99	63	80	128	96	84	113	110	114	111	202	165	107	201	199	219	156	291	270	114	296	111	79	46	17	4	12	7	25	10	7	30
0	0	0	1	0	2	0	0	5	0	30	0	0	0	10	0	26	45	44	7	45	40	13	65	10	47	57	0	40	12	47	20	60	74	87	141	56	128	82	294	189	126	164	193	142	206	123	164	184	125	128	72	30	50	4	10	5	0	10	0
0	0	5	0	0	0	0	0	0	2	2	20	0	0	0	0	0	0	0	2	25	10	15	37	35	29	10	35	12	80	38	41	74	86	81	74	52	66	78	83	162	138	205	203	235	149	132	200	117	182	153	122	38	141	52	35	15	10	0	0
10	0	2	0	0	0	0	0	0	0	0	0	10	10	0	12	0	0	26	0	22	35	20	5	20	27	37	13	27	7	3	47	40	58	129	46	56	92	84	92	112	160	79	194	165	159	325	119	152	148	136	212	128	63	51	0	3	21	5	20
0	0	0	20	0	0	0	0	0	0	0	25	0	10	0	0	0	0	0	25	27	17	0	40	2	4	0	26	25	25	35	7	23	54	25	75	42	55	78	96	144	85	137	124	149	81	140	142	233	120	164	114	162	51	51	43	22	3	8	5
0	0	0	0	20	0	0	2	0	0	10	0	0	0	10	10	40	0	0	10	2	2	10	0	2	11	5	8	17	20	1	28	11	40	32	12	35	12	38	48	85	86	75	72	170	135	139	183	149	64	91	124	140	116	80	22	36	87	32	2
0	0	20	0	0	0	0	0	0	20	10	0	10	1	0	0	5	0	10	0	5	10	5	10	0	0	5	20	0	2	40	21	42	40	33	33	67	41	65	38	36	127	101	69	118	55	91	173	98	180	121	110	78	49	117	56	77	1	17	20
0	0	0	0	0	20	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	0	10	10	26	7	10	42	7	0	57	35	42	57	13	35	22	78	33	23	86	96	44	80	99	107	98	116	116	146	57	49	27	7	15	16
0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	25	0	45	21	2	13	0	25	18	18	30	20	52	75	39	22	21	66	40	111	126	69	92	198	132	169	60	134	11	49	36	36	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	5	10	0	10	0	2	12	25	22	20	12	4	46	42	50	112	84	53	89	97	57	108	160	185	120	101	99	55	88	88	69	47	1	20
0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	25	2	2	20	31	0	0	6	15	5	11	7	15	27	6	28	19	15	44	34	66	68	58	73	108	75	101	97	72	77	71	59	22	32
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	5	0	10	0	20	10	5	5	2	1	10	53	12	0	0	65	46	80	22	14	8	86	80	104	44	39	86	54	59	35	23	56	38	37
