teg1m,teg2m,teg3m,teg4m,teg5m,teg6m,teg7m,teg8m,teg9m,teg10m,teg11m,teg12m,teg13m,teg14m,teg15m,teg16m,spaar1m,spaar2m,spaar3m,spaar4m,spaar5m,spaar6m,teg1v,teg2v,teg3v,teg4v,teg5v,teg6v,teg7v,teg8v,teg9v,teg10v,teg11v,teg12v,teg13v,teg14v,teg15v,teg16v,spaar1v,spaar2v,spaar3v,spaar4v,spaar5v,spaar6v,educm,heightm,BMIm,healthm,consm,extram,agreem,emom,autom,riskym,Agem,educv,heightv,BMIv,healthv,consv,extrav,agreev,emov,autov,riskyv,Agev
5.5,5.5,4.5,3.5,4,4.5,4.5,4.5,3,2,2.5,2.5,3.5,2.5,3.5,2.5,4.5,5,2.5,4.5,2,2,4.5,4,4,2.5,3,5.5,4,3.5,2,3.5,3,4,4,3.5,4.5,5,4.5,6,3.5,5,4.5,1,2,182,25.05736,4,-0.351534,0.339509,-0.017806,0.272885,0.403651,-0.074528,34,1,168,28.69898,3,-0.065515,0.603757,-0.545054,-0.601151,-0.120052,0.031069,27
5,4,3,3.5,5,3.5,4,3.5,4.5,3,4,4,2.5,4.5,4,2.5,3.5,4.5,3.5,4,3,3,6,4,3.5,3,4.5,5,5,3.5,3,3,4.5,4,4,4,5.5,3,4,3,2.5,5,3,3,2,176,26.472107,4,-0.742435,-0.228171,-0.45348,-0.178278,0.109821,0.465013,38,1,163,22.959087,3,0.088665,0.614413,-0.182166,-0.2534,0.171445,0.313008,39
5,1.5,6.5,3.5,4.5,4.5,4.5,4,4.5,3.5,5,1,3,3,4.5,5.5,2.5,2.5,5,3,2.5,2.5,4.5,4,2,5,5.5,4,5.5,4,3,3,1,3,5.5,3,3.5,3,4.5,1.5,3,5.5,6.5,5,2,186,24.569315,3,-0.198082,-0.228171,-1.137154,-0.403545,-0.110332,0.923132,43,2,178,22.724403,3,-0.618853,-0.342915,0.452035,-0.433256,1.457083,0.984599,27
5,7,6,4,4,4,5,6,4,4,4,3,4,6,6,2,6,4,3,6,3,3,4,4,2,3,4,4,3,4,4,4,3,4,4,3,5,3,4,2,1,6,3,3,3,184,20.085066,3,0.635931,-0.21899,0.529035,0.84492,0.177472,-0.06787,43,2,172,22.985397,3,-0.18764,-0.238336,-0.303129,-0.700583,-0.187703,0.118248,41
5,6,5,4,4,5,4,4,5,4,5,3,3,4,5,3,6,6,2,7,6,2,6,6,3,4,4,4,4,4,3,3,3,3,3,3,4,4,5.5,5.5,2.5,5.5,2.5,2.5,2,177,27.131413,3,0.078951,-0.502584,-0.00987,0.189189,-0.386083,-0.267341,43,2,156,26.709402,3,-0.475116,0.349181,-0.00987,-0.173955,0.121873,-0.24523,38
6,6,5,3,2,3,4,6,6,2,4,3,6,4,6,2,7,5.5,4,4,2.5,1,6,5,3,2,2,5,4,6,3,4,5,3,4,3,6,2,6,4,4,6,2,2,1,186,24.858366,3,0.36934,-0.23637,0.290831,0.602691,-0.615956,-0.224408,39,2,169,19.607157,3,0.902522,0.879644,-0.509592,-0.180894,-0.869934,-0.186738,38
5,4.5,5.5,2.5,3.5,3.5,4,1.5,2.5,3,4,4.5,4,4,3.5,3,3,3.5,5.5,6.5,2.5,3.5,4.5,4.5,4,2,2,4.5,3.5,3.5,2.5,1.5,4.5,4,5.5,5.5,5.5,1.5,6.5,5,4,5,3,1.5,2,176,30.668905,4,-1.422268,0.604248,-0.285398,-0.013559,-0.253068,0.487915,32,1,178,22.724403,3,-0.044631,0.594576,-0.25601,0.484522,-0.897734,-0.146674,32
5.5,4.5,4.5,4,4,4,3,4,5,2.5,4,1.5,4.5,4.5,5,2,2.5,2.5,6.5,4.5,6,6,5,4.5,3.5,1.5,5,5,5,4,3.5,2.5,2,3,3.5,4,4.5,3,6.5,5,3,7,3,3,3,189,23.795527,3,-0.18764,-0.360296,-0.033676,0.524963,-0.441682,1.654967,30,2,176,20.983988,4,-0.064787,0.585885,-0.053268,0.013749,0.927354,-0.340761,26
4,6,5,6,4,5,5,3,3,2,5,2,4,5,6,3,6,6,5,6,5,4,5,5,2.5,2.5,3,5.5,4,3.5,3.5,4,4,3.5,3.5,3.5,4.5,4.5,3,6.5,1.5,6,3,1.5,2,187,23.449341,3,0.098379,-0.750435,0.251647,0.727725,-0.076507,0.2877,30,1,181,19.840664,3,-0.065515,0.320654,-0.398425,-0.576117,-0.374031,-0.295621,27
4,4,4,2,4,4,4,5,2,3,4,1,6,3,6,2,1,4,2.5,4,4,4,5,4,5,6,4,4,4,6,1,4,2,4,4,6,4,4,1,6,1,4,6,4,2,198,21.426386,2,0.367883,0.594084,0.219906,0.193333,-0.132105,0.893774,36,2,167,16.135393,2,0.06098,0.10133,-0.303129,-0.08756,0.375852,0.778302,42
5,4,4,4,3,3,4,3,3,2,3,3,5,5,5,2,4,1,1,6,2,6,6,5,3,4,2,4,4,5,2,2,4,3,5,4,5,3,5,1,6,6,5,5,2,185,26.296566,3,-0.722279,0.064604,-0.283537,0.340146,-0.120052,0.43794,30,2,175,22.530613,3,0.080408,0.632776,-0.248075,0.093962,-0.615956,1.055452,29
5,6.5,4,4,4,6.5,4.5,3.5,4,2,4,3.5,2,4.5,4,3,6,4.5,2,6,1,3,6.5,4,3.5,2,4,3,5,3.5,4,4,4.5,3,4.5,4.5,4,3.5,5,4.5,2,6.5,2.5,2.5,3,204,20.665129,3,0.057338,-0.21899,-0.132694,0.421261,0.022683,-0.431426,36,2,173,22.720438,3,-0.87573,0.738338,-0.17237,-0.265795,0.050482,-0.284613,35
5,5,4,3,2.5,4.5,4.5,4,2,2,2,4,4.5,4,4,3.5,6,5.5,3.5,6,2.5,2,5.5,5.5,5,2.5,2.5,5,5,4,4,3.5,3.5,4.5,4.5,5.5,4.5,3.5,6,6,2,5.5,4,3,2,176,35.511364,3,-0.34182,0.61343,-0.257871,0.0153,0.167752,-0.317682,40,2,157,39.758205,3,-0.064787,0.321146,-0.119177,0.127489,-0.058428,-0.175195,40
7,7,6,4,7,7,6,7,4,1,2,2,7,6,7,2,4,1,3,7,4,2,7,4,4,4,2,6,2,7,4,5,6,6,7,4,6,4,3,5,5,7,2,2,2,182,23.245985,3,1.991227,0.350164,2.039364,1.390346,1.720781,0.277024,41,2,167,18.286779,2,1.437161,0.350164,-0.002428,-0.864798,-1.743066,0.01405,41
4,5,5,4,5,5,5,5,4,2,4,2,4,5,5,2,7,1,1,7,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,6,6,4,5,2,1,3,170,23.183392,4,0.346999,-0.503567,0.216185,0.724433,0.419397,0.088164,44,3,165,22.773186,3,-0.475116,-0.503567,-0.041612,-0.597472,-0.132105,-0.347652,42
5.5,5,5,2.5,5.5,3,3.5,3.5,3.5,2.5,4,3,4.5,4.5,3,4.5,5,5,1,6,3.5,3,4.5,5.5,4,2.5,3,4,4,4,4,2,2.5,3.5,2.5,3.5,5,4.5,6,6.5,1,6.5,2,1,2,178,22.09317,4,-1.163206,0.462943,0.467906,0.122046,0.075995,-0.201561,28,1,176,23.243801,3,-0.18764,0.036569,-0.521249,-0.052696,0.006937,-0.895107,26
5.5,3,2,4,3.5,2.5,4,4,2.5,4.5,3,4,5,3.5,4,2,4.5,2.5,3.5,5.5,3.5,4,6,4.5,4,2,2.5,3,4,4,2,3,4,5.5,3.5,4,4,2.5,5,5,2.5,5.5,4,4,3,189,25.195263,3,-0.875002,0.34869,-0.439962,-0.70732,0.000911,0.508696,33,2,178,19.568235,3,-0.741707,1.163238,-0.658082,-0.25011,-0.494993,0.184254,39
6,5,6,3,3,5,4,3,3,3,4,2,3,5,5,4,6,7,1,6,3,1,6,4,2.5,3,4,5,3,4,4,4,5,5,4,5,4,5,6,6.5,1,7,2.5,1,1,171,29.410759,2,-0.189097,0.614413,-0.529184,0.431895,-0.374031,-0.766179,38,1,159,29.666548,3,-0.208525,0.330818,-0.303129,-0.776689,-0.69566,-0.906238,36
5,3,6,2,2,5,4,3,4,2,6,2,5,5,4,2,6,5,3,6,5,5,5,4,3,4,6,6,5,5,4,3,3,3,5,4,5,4,6,6,2,6,3.5,2,2,197,32.209023,3,-0.476572,0.311473,-0.802851,0.564362,-1.123913,0.285233,40,2,162,23.624447,4,0.61359,-0.21899,0.44224,-0.319184,0.915301,-0.40752,37
7,7,7,4,7,2,6,1,7,1,1,1,5,6,4,4,7,7,1,7,1,1,6,4,3,1,4,5,4,6,6,2,4,5,6,3,4,5,7,7,7,7,1,1,2,183,23.589836,4,-1.812441,-0.500619,1.516329,1.365135,1.97476,-1.219422,31,2,161,21.604105,4,0.327571,0.294093,0.219906,-0.70425,-0.132105,-0.605464,28
5,4.5,4.5,1.5,4,5.5,4,4,3,5.5,5.5,5,2,2.5,5,3,6.5,4.5,3.5,7,2,1,6,5,2.5,1,3,4,4,3.5,1,5,5.5,4.5,3.5,2.5,4.5,3.5,6.5,6,2.5,6.5,1.5,2.5,3,186,23.991213,4,0.212246,0.727683,-0.68747,-0.740877,-0.513072,-0.579049,39,2,152,20.775623,3,-0.465402,1.712064,-0.398425,-0.8402,-0.754998,-0.634822,38
6,5,6,5,4,2,5,3,6,5,6,3,5,5,4,4,4,3,5,5,3,3,4,6,5,4,6,4,4,3,3,2,4,5,5,7,4,5,3,1,3,3,4,3,2,194,24.710384,3,-1.276345,-0.766833,0.235776,0.025518,-0.330485,0.568824,41,2,171,23.255018,3,-0.743163,-0.219973,0.997016,0.336407,0.351746,1.018247,33
5,5,5,4,4,4,5,4,4,3,3,4,5,6,4,4,4,1,2,6,3,3,5,5,4,3,3,6,4,4,3,2,3,3,4,4,5,2,5,3,1,6,4,4,2,180,23.456791,3,-0.475116,-0.21899,0.235776,0.190184,0.43145,0.30986,40,1,158,21.230572,4,0.345542,0.329836,-0.267666,0.346681,-0.120052,0.144057,37
6,4.5,3.5,1.5,4.5,4.5,4,4,3.5,4.5,3.5,4,3.5,4,2.5,2,5.5,4.5,4.5,5,3.5,4,6,7,5,4,6,4,5,5,4,2,4,2,5,6,6,2,5,3,2,5,2,2,2,189,25.195263,4,-0.773033,0.870462,-0.174231,-0.257225,0.115847,0.39163,30,3,167,22.948116,4,0.367883,0.065587,1.274404,1.13398,0.661323,-0.065449,26
4,6,3,5,4,6,4,4,5,2,4,1,5,5,3,5,6,5,1.5,6,2,1,4,4,6,4,4,5,5,4,3,2,3,3,4,4,4,4,5,5.5,1,4,1,1,2,197,26.540236,3,-0.229409,-1.052392,0.513164,0.350565,-0.132105,-0.644739,36,2,176,23.243801,2,-0.208525,-0.219973,-0.303129,0.171815,0.43145,-0.481626,35
4,4,3,4,5,5,4,5,6,3,4,5,4,4,5,5,6,3,2,6,5,4,5,5,3,2.5,3,5.5,5,4,3.5,3,4.5,4.5,3,2.5,4,3.5,5,5,3,5.5,6,4,2,172,25.351542,2,0.346999,-1.070755,-0.061203,-0.71114,0.109821,0.248576,42,3,168,22.321428,3,-0.075229,0.320654,-0.529184,-0.503443,-0.191443,0.452004,35
4.5,4,3,2.5,3.5,5,4,4,4,3,4,2,4.5,4,4,2,5,1.5,1.5,6,6,4,6,4.5,5,4,4.5,3.5,4.5,3.5,3,3.5,2,3,2.5,4,3.5,3,5.5,5,2.5,7,5.5,3.5,2,184,22.448015,3,-0.208525,0.036569,-0.293333,0.079898,-0.253068,0.545735,26,2,170,19.377163,3,-0.886173,0.349181,-0.435748,0.050673,0.651603,0.041361,24
5,6,5,5,2,6,3,5,5,2,6,5,6,5,6,2,3,1,2,6,5,6,5,4,3,6,6,5,5,6,2,3,2,5,5,4,5,5,6,4,4,7,3,2,2,182,20.227026,3,0.901065,-0.767815,0.290831,0.478296,-1.433489,0.971248,45,2,178,17.990152,3,0.615046,-0.182264,0.44224,-0.71114,1.169279,-0.209,42
4.5,7,6.5,4,6.5,3.5,6.5,4.5,4,1.5,4,3,4,4,3,2.5,6,4,2,7,3,3,5,7,3.5,2.5,4,5,4.5,5.5,4,3,5.5,5.5,2.5,4.5,5,5,5.5,3.5,2.5,7,2.5,2,2,178,24.618103,3,-0.761863,-0.361278,1.133849,0.919183,1.24665,-0.300752,43,1,175,21.224489,2,0.481023,0.178857,0.136759,-0.234459,-0.358284,-0.318943,39
7,5,6,1,4,2.5,4,6,4,5,6,6,7,2,6,2,4,4,2,5,1,4,6,3,2,4,4,5,4,6,4,3,3,6,6,4,6,4,3.5,2,3,4.5,1,2.5,2,176,19.369835,3,0.236045,1.145858,0.758811,-0.484985,-0.640062,0.068873,33,2,176,20.983988,2,0.902522,0.065587,-0.057482,-0.960025,0.121873,0.298747,28
5,4.5,3.5,3.5,3.5,4.5,4.5,4,2.5,3.5,5,5.5,3.5,4.5,5,5,1.5,2,1.5,2,1.5,2.5,3.5,3.5,2.5,3,3.5,4,4.5,4,3,3,2.5,4,4,4.5,5,2.5,3,1,2,2,1,1,2,186,25.436466,3,-0.054345,0.339017,-0.416156,-0.650719,-0.352258,0.737995,46,1,150,20.888889,2,-0.18764,-0.09703,-0.562786,-0.306283,0.282688,0.495795,39
6,5.5,3.5,3,5,5.5,4,3.5,4,2,2.5,3.5,3.5,5,3.5,3.5,4,5,1,6,4,3,6,4,3,2.5,3,3.5,5,4.5,4.5,3.5,4,4.5,5,3,4,4.5,5,6.5,1,7,3,2,2,176,23.243801,2,-0.352991,0.330818,0.22412,0.222287,0.490788,-0.041313,43,1,167,24.740938,3,-0.474387,0.321637,-0.283537,-0.780984,-0.064454,-0.633091,38
4,5,3,2,3,7,4,4,3,2,4,4,1,2,5,3,7,7,1,7,1,1,5,6,3,2,3,6,4,6,4,1,4,4,3,4,4,4,7,7,1,7,1,1,3,176,25.826447,3,0.612133,0.31049,-1.052219,-0.298633,-0.374031,-1.219422,48,2,162,26.291723,3,0.594162,0.311473,-0.251796,0.108027,-0.374031,-1.219422,42
5.5,5.5,5,2.5,3.5,6.5,4.5,3.5,4,1.5,3,4.5,3,4,5.5,2.5,5,2.5,5,4.5,5,2.5,4.5,4,3.5,3.5,4.5,4,4,3.5,4.5,2,3,4,5,4,3.5,2,5.5,4,4,5.5,4,4,1,185,24.835646,4,0.488551,0.321146,-0.269527,0.342752,0.155699,0.732781,29,2,174,19.817677,3,-0.752877,-0.37046,0.079351,0.021052,0.242836,0.373978,28
4,7,5,4,4,5,5,4,4,3,3,3,4,5,6,3,4,4,2,4,3,3,5,5,4,3,4,3,4,4,3,3,4,4,4,4,4,3,5,4,2,4,3,4,3,186,22.256908,4,0.366426,-0.503567,0.529035,0.599092,0.43145,0.303116,34,3,178,20.830704,4,-0.741707,0.329836,-0.025741,-0.056048,-0.132105,0.309916,32
4,4.5,4,4,4,5,4,4,3,2.5,2.5,4.5,4,5,5,2.5,5,3.5,3.5,4.5,3.5,3.5,6,5,2,2,6,4,3,6,3,3,6,4,4,6,6,2,3,3,1,4,4,4,3,178,22.09317,3,0.078951,-0.219973,-0.164435,0.079851,0.248863,0.440467,45,2,172,21.971336,2,0.635931,0.879644,0.45811,0.10904,-0.465787,0.617369,41
5,6,7,4,5,4,6,6,3,1,6,1,3,5,6,2,4,7,6,6,3,4,6,4,4,2,2,5,2,5,4,4,5,2,4,3,5,4,6,6,2,7,2,2,2,180,24.382715,4,0.635931,0.064604,0.232055,1.365087,0.221017,0.296355,32,2,160,23.046875,3,0.346999,0.59605,-0.78698,-0.344799,-1.489087,-0.700516,32
5.5,5.5,3,3.5,2.5,5.5,3,3.5,4.5,2,3.5,4.5,3,4,5,4,6,6,4,7,3,4,3,3,4.5,3.5,5,3.5,4.5,3,4,4,3.5,4.5,4,3.5,3.5,4.5,6,5.5,5,6,3.5,3,2,178,28.721121,4,0.078223,-0.085883,-0.511453,-0.164509,-0.677581,-0.161769,30,2,178,28.405504,3,-1.020197,-0.655528,-0.338591,-0.747149,0.391598,0.057002,26
5,5,6,3,6,4,5,4,4,3,4,3,5,6,5,2,5,1,5,3,4,4,5.5,5,6,2.5,3,3.5,4,4,2.5,5,3.5,3,6,6,5,2.5,5,2,2,4,3,3,2,174,21.469151,4,-0.18764,0.046241,0.719628,0.706582,0.661323,1.123599,40,2,168,22.675737,4,-0.320936,0.746537,0.255368,0.360781,-0.247041,0.375585,39
3,4,3,4,4,4,4,4,5,3,4,3,4,4,5,4,4,4,3,4,4,6,5,6,4,2,3,4,4,6,4,4,3,4,3,4,5,4,7,4,2,7,1.5,2,2,175,29.061224,2,-0.18764,-1.071738,-0.303129,-0.319184,-0.132105,0.852436,52,2,172,21.971336,3,0.348455,0.311473,-0.251796,-0.191806,-0.120052,-0.682193,38
6,5,5,4,5.5,5,5.5,4,3,4.5,4.5,4,5.5,4.5,4,2.5,3.5,4.5,2,4.5,3,2,5.5,4.5,3,2.5,4.5,4,4,4.5,1.5,2.5,3.5,3,2,3,5,4.5,6,6,1,6.5,6.5,1,2,186,26.88172,4,-0.208525,0.349181,0.729423,-0.013526,0.568159,0.133346,41,2,170,27.681662,4,-0.053616,1.030131,-0.566507,-0.380172,0.115847,-0.363143,38
5,7,5,3,3,5,5,6,6,3,2,3,5,6,6,2,6,1.5,2,5.5,2.5,3,6,4,4,4,4,5,5,5,4,4,4,4,4,4,5,5,4,3,1,4,1,1,3,186,26.014568,2,0.902522,-0.520947,0.548627,0.866654,0.443503,0.064147,43,2,165,26.813591,3,0.346999,0.065587,-0.303129,-0.604597,0.177472,-0.152313,41
4,4,3,2,3,5,4,5,3,2,2,3,6,6,5,3,6,5,6,6,5,5,6,4,2,3,6,3,6,4,4,5,3,4,5,4,4,3,5,4,5,6,5,5,2,174,24.111507,4,0.346999,0.31049,-0.02202,0.219586,0.133926,0.592212,50,2,162,20.195093,3,-0.741707,0.330818,0.44224,-0.707474,1.224878,0.685271,42
4,4.5,4,3.5,3,6,5,3,3.5,2.5,3.5,3,3.5,4,4,2,5.5,4,3.5,4.5,3,3.5,4.5,4.5,3.5,3,4.5,4.5,4.5,3,3,2.5,3,4,4.5,4,5,3,6.5,6,2.5,6,2,2,2,172,18.253109,4,-0.209981,-0.229154,-0.537119,0.207809,0.062535,0.288627,31,2,172,18.591131,4,-0.322392,0.187547,0.087287,-0.114528,0.397624,-0.571848,29
4.5,5,4,3,4,5.5,4.5,3,3.5,3,4,4.5,3,4,4,3,3.5,1,5,5,3,5.5,5,4,4,5,4,6,4,4,3,4,4,4,3,5,5,4,6,4,2,6,2,2,2,178,27.458654,3,-0.343277,0.04575,-0.287258,-0.120187,0.022683,1.082695,42,3,173,20.381569,3,0.345542,-0.200627,-0.564646,-0.337035,-0.132105,-0.39139,34
4.5,6.5,5,5,6,3,6,6,3.5,5,5,2,6,6,4.5,3.5,2.5,4,5,5,5.5,5,5,6,3,5,4,5,4,6,5,3,2,2,5,5,3,3,4,2.5,4.5,5.5,5,5.5,2,160,19.53125,4,-0.061873,-0.484713,1.397227,0.444381,0.716921,1.135225,34,2,186,24.858366,4,0.040095,-0.767815,0.513164,0.354043,0.375852,0.995864,39
5,5,4,3.5,4.5,5,4,4,4,2,4.5,3,4,4.5,3,2,6,5.5,2.5,5.5,2,2,6,5,3.5,2.5,3,4,4,3.5,3,3.5,4.5,3,3.5,3.5,4.5,3.5,5.5,4.5,3.5,5,2,3,2,170,21.453287,4,-0.496,-0.086374,0.095222,0.412761,-0.138131,-0.408877,40,2,163,19.948059,4,-0.465402,0.747028,-0.398425,-0.189735,-0.50102,0.013963,31
5.5,4.5,3.5,3,3.5,4.5,4.5,3.5,3.5,3,3,4,5.5,4.5,5,4.5,6,4,2,6,2,2,4.5,3.5,4.5,4,3.5,4.5,4,3,3,4,4,4,3,3.5,4,4,3.5,3.5,3,4,3,2,1,172,21.971336,1,-0.188368,0.330327,0.106878,-0.321077,0.155699,-0.39139,40,2,165,25.711662,3,-0.609868,-0.077684,-0.824303,-0.545963,-0.253068,0.390235,34
4,6,3,3,3,5,4,4,5,2,3,3,3,6,5,2,5,3,5,4,5,4,5,6,2,6,6,3,6,6,3,6,2,2,6,6,4,2,6,6,3,6,4,4,2,189,22.955685,3,0.078951,-0.52193,-0.251796,0.632377,-0.120052,0.922767,31,3,163,19.948059,4,-0.205611,-0.465858,1.258533,0.087139,1.478856,-0.025246,30
3.5,5.5,5.5,4,4,5.5,5,3,3,2.5,3.5,3,5,4.5,4.5,2.5,4,2,3.5,5.5,2.5,4,4.5,4,6,3.5,3.5,3.5,4,4,2.5,3,3,4,4,4,5,3,6.5,3,1.5,6,2,1,3,178,27.774271,3,-0.199539,-0.362261,0.37447,0.520856,0.304461,0.498095,41,2,170,25.951557,4,-0.320936,0.196729,-0.424092,0.03989,0.000911,-0.519219,40
4,6,5,3,3,6,5,3,4,3,4,3,3,3,5,3,5,5,3,6,3,3,4,4,3,3,6,5,5,5,4,2,3,4,4,3,5,4,7,7,5,6,2,2,3,180,21.604939,3,0.077494,-0.238336,-0.251796,0.19608,-0.064454,-0.051055,34,2,165,22.038567,3,0.346999,-0.238336,0.180722,-0.44057,0.915301,-0.458367,30
4,6,4,5,5,5,5,3,4,2,3,4,4,6,5,3,4.5,3.5,1.5,7,1.5,1,5,4,3,3,4,5,4,3,4,3,4,3,4,4,4,4,1,1,1,6.5,2,1.5,2,182,25.661152,4,-0.189097,-0.768798,0.493573,0.486014,0.673375,-0.536363,46,1,172,21.633316,4,-0.476572,0.046241,-0.303129,-0.319184,-0.132105,0.182913,34
2,4,3,6,2,6,2,2,5,1,1,4,3,7,6,6,1,1,1,7,7,1,6,6,3,1,4,4,3,4,4,2,2,2,3,7,6,2,7,1,2,7,5,4,2,180,24.691359,3,0.096922,-1.886778,-1.048497,-0.043689,-0.473174,0.602654,49,3,160,19.140625,3,0.099835,0.861281,-0.00987,0.892813,0.066275,0.19049,38
4,3,3,2,2,4,3,4,2,2,5,2,2,5,6,3,4,2,2,4,2,2,5,4,5,4,6,3,6,4,4,4,2,3,5,4,4,4,3,4,2,5,5,4,2,182,24.755465,3,0.099835,0.594084,-1.587403,0.077011,-1.179511,0.260492,53,1,170,24.221453,3,-0.741707,-0.21899,0.44224,-0.223601,1.478856,0.608148,42
5.5,4.5,3,2,3,4,4.5,3.5,4,3.5,4,2,3.5,4,3.5,2,3,3.5,3.5,5,2.5,3,7,5,6,2,5,4,5,6,2,3,4,4,5,3,4,4,5,4,4,5,3,4,3,185,19.868517,4,-0.752877,0.453761,-0.537119,0.07972,-0.219242,0.422646,35,3,173,19.713322,4,0.06098,1.447815,0.477702,-0.088977,0.419397,0.384013,29
5,5,4,3,3,5,4,5,3,4,4,4,4,4,5,4,1,5,2.5,5,3,1,6,4,4,2,4,4,4,6,3,3,4,2,4,4,4,3,2.5,2,1,3,1,1,2,190,24.930748,3,0.346999,0.329836,-0.267666,-0.3305,-0.374031,0.226939,38,1,168,18.778345,4,0.06098,0.879644,-0.303129,0.061812,-0.132105,0.226678,35
6.5,4,3.5,4,4.5,3.5,4.5,3,2.5,1.5,2.5,5,3,4,4,3,5,7,1,7,1,1,6,3.5,5.5,1.5,3.5,4,4,2,3,2.5,5.5,3,4.5,3.5,3.5,3.5,6.5,6.5,1,6,1,1.5,2,183,22.694019,3,-0.876459,0.633267,-0.443684,-0.173103,0.524614,-1.007221,29,2,173,26.729927,3,-1.154949,1.01226,-0.432027,-0.024094,-0.634035,-0.934723,26
5,5,3.5,4,2.5,5.5,4,3,3.5,3.5,3,4,3,4,3.5,2.5,6,3,2,5,2,2.5,4,2,2,3,3,3,4,3,4,2,4,4,4,4,5,2,5,3,2,6,3,2,2,180,27.777779,3,-0.487015,-0.077193,-0.650147,-0.11653,-0.241015,-0.1151,41,2,167,23.306681,3,-0.722279,-0.238336,-1.099831,-0.43231,-0.374031,-0.087711,37
6,4,4,3,3,6,4,6,4,3,5,4,4,6,6,3,6,5,1,7,2,3,4,4,3,6,5,3,4,6,2,4,5,4,2,3,6,5,6.5,4,2,7,1.5,2,1,172,29.069767,2,1.169113,0.330818,-0.545054,0.069576,-0.628009,-0.600657,44,2,153,29.475843,1,0.36934,-0.466841,-0.584238,-0.854072,-0.144158,-0.629143,40
5.5,4.5,4,4,3.5,4,4.5,4.5,2,3.5,4,4,3,4,5,3.5,6,5,2,6,4.5,2.5,4,5,3.5,2.5,2,5.5,5,4,3.5,2.5,3.5,4.5,3,4,5.5,5.5,6,5.5,4,7,3.5,3.5,3,176,25.180784,3,-0.053616,0.490487,-0.546915,-0.262621,-0.098279,-0.153491,44,2,163,20.700817,3,0.355984,0.036077,-0.771109,-0.447826,-0.17939,-0.11943,42
5,5,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,5,3,2,6,4.5,5,2.5,3.5,5.5,4.5,3.5,2.5,2.5,4,3.5,3.5,3,4.5,3,6,4,1.5,5.5,2,1.5,2,184,21.266541,4,-0.475116,-0.21899,-0.025741,-0.052401,-0.132105,0.264313,35,1,180,22.222221,4,-0.065515,0.888825,-0.416156,-0.006574,-0.098279,-0.433726,31
5,3,3,2,3,4,2,3,2,1,3,6,3,5,4,3,6,6,2,6,4,2,5,5,5,3,3,5,4,5,4,3,2,4,5,4,5,3,4,4,3,3,4,2,2,180,29.320988,3,-0.743163,0.878661,-1.08396,-0.297048,-0.739205,-0.353373,41,2,155,24.557753,4,0.346999,0.046241,-0.006149,0.061268,0.133926,0.531391,37
6,6.5,6.5,5.5,3.5,4,6,5,5,1,3,1.5,5,6,5,2.5,6.5,4,2,6.5,1,2,7,6.5,5,2,2.5,5.5,5.5,6,5.5,1,5,1,5,6,6.5,1.5,6.5,4,2.5,6.5,1,1,2,176,25.826447,3,0.080408,-0.615854,0.530896,1.376095,0.620064,-0.618012,42,3,172,22.985397,4,1.179555,0.455235,0.28897,1.399662,-0.284607,-0.679749,38
4.5,5,3,4,4,4.5,3.5,3.5,3,1,2,3.5,3,4,3.5,2,5,3.5,6,4.5,3,3.5,5,5.5,3,3.5,5.5,5,4.5,4,3,2,2.5,3,4.5,3.5,4.5,3,5.5,3,2.5,4.5,3,1.5,3,186,21.389755,3,-0.619582,-0.077684,-0.287258,0.304276,0.221063,0.642136,40,3,175,19.591837,3,-0.064787,0.19722,0.6066,0.09723,0.766539,0.049785,37
4,5,5,5,4,3,3,5,3,2,5,2,3,4,5,2,6,6,5,5.5,5,4.5,4.5,5,4.5,5.5,5.5,5,4,5,4.5,2.5,2,2.5,5,4.5,3.5,4,6,3.5,3,5.5,4,3.5,3,175,25.469387,4,-0.186183,-0.485204,-0.287258,0.592274,-0.69566,0.409428,44,2,175,21.87755,4,-0.084215,-0.900922,0.598665,0.195228,0.73874,0.206794,41
4,5,5,4,3,4,3,4,5,3,4,3,4,4,5,4,4,4,3,4,3,4,5,3,3,3,6,6,4,5,4,2,4,4,5,4,6,5,7,4,4,7,4,4,2,177,21.066744,4,-0.18764,-0.787161,-0.267666,0.054143,-0.683607,0.518342,36,2,174,23.120625,3,0.901065,0.046241,0.164852,-0.582508,0.351746,0.018994,31
4.5,4.5,3.5,3,5,4,3.5,3.5,3.5,3,3.5,3.5,3.5,3.5,3.5,2.5,4,3,4,4.5,4.5,4,4.5,4.5,3.5,2.5,3,5.5,5.5,4,3,4.5,5,3.5,4,4.5,5,4.5,6,3.5,2,5,1.5,2.5,2,189,22.955685,3,-0.752877,0.04575,-0.053268,-0.118293,0.082021,0.807117,29,2,164,21.564545,3,0.212246,0.320163,-0.40636,-0.465513,-0.163644,-0.213889,26
6,3,4,5,4,3,4,3,4,4,4,3,4,3,3,4,5,6,2,6,3,5,4,2,4,2,4,3,4,3,4,4,3,4,5,2,3,2,6,3,1,6,2,2,2,170,25.951557,3,-1.29723,-0.199644,-0.580517,-0.61177,-0.132105,-0.016866,31,1,160,21.09375,3,-1.29723,0.026896,-0.596388,-0.740095,0.121873,-0.404432,31
