yeara,mktcap,nFIRM,comp,nCEO
2002,9615.5625,470,7028.3706,276
2003,12970.22,430,5106.1587,454
2004,14212.376,440,,
2005,15958.966,346,,
1991,5174.0498,397,4475.5342,93
1992,4879.5708,448,5889.6494,88
1993,5221.6548,455,,
1991,19227.092,133,6505.1455,42
1992,16472.137,161,2375.7107,347
1993,15726.441,190,2720.5244,399
1994,15611.013,183,3047.7456,371
1995,18398.107,188,7566.0313,153
1996,17055.486,229,10159.882,133
1997,20852.773,217,11454.411,131
1998,26075.537,190,6875.5767,336
1999,24740.641,247,19259.352,121
2000,31805.459,211,10319.551,246
2001,37584.887,170,4954.6807,465
2002,25239.205,217,4550.438,465
2003,27386.49,232,8452.5664,245
1991,4599.4873,435,,
1992,5003.2729,438,2007.0016,456
1993,5037.5146,470,,
1994,5619.5537,429,3483.136,313
1995,6190.3721,447,5951.0874,224
1996,7507.6958,419,5529.2334,298
1997,7909.4233,452,4679.0557,420
1998,12890.537,354,,
1999,9940.6201,496,,
2001,11754.481,417,4880.0317,471
2002,9370.0117,482,,
2003,10992.908,488,,
2004,14248.288,438,,
2005,13982.406,392,,
1991,42750.273,54,3367.0405,152
1992,45644.434,55,3103.1128,237
1993,50061.145,56,14093.163,30
1994,42749.523,62,3453.7644,318
1995,49432.699,70,4779.3301,293
1996,47466.48,93,9583.8135,143
1997,115009.97,31,5784.5137,317
1998,128271.8,42,21546.404,87
1999,141444.17,47,28704.576,65
2000,250356.56,20,28899.121,42
2001,244764.55,24,19372.461,58
2002,212766.52,23,17048.719,70
2003,195559.17,34,15953.543,75
2004,199878.77,30,,
2005,168823.45,30,,
1991,48641.227,42,,
1992,43223.863,58,,
1993,33511.781,86,,
1994,31497.137,90,,
1995,33037.664,101,,
1996,38495.84,108,,
1997,45485.535,105,,
1998,38311.684,141,,
1999,73469.086,93,,
2000,46448.102,148,,
2001,41132.277,154,,
2002,32468.68,178,,
2003,38086.879,172,,
2004,39586.977,165,,
2005,39301.055,140,,
1991,46451.641,47,3432.4211,149
1992,45513.746,56,2422.5537,340
1993,50562.172,55,3171.5259,328
1994,47909.039,57,7154.6772,92
1995,66927.031,46,9975.5664,88
1996,61325.332,63,4382.4253,404
1997,78578.641,56,20433.943,46
1998,122361.43,44,13015.216,159
1999,116566.05,57,14263.301,170
2000,107068,70,11350.221,213
2001,99464.18,64,14025.687,108
2002,72215.148,78,12160.81,124
2003,71897.648,89,10326.859,165
2004,74081.258,84,,
2005,67019.758,82,,
1991,12457.139,216,2898.4009,194
1992,13943.155,198,3810.7581,166
1993,15518.446,191,3953.3066,246
1994,16773.045,175,3481.7605,314
1995,18250.123,193,4492.6777,325
1996,20005.861,198,4444.8159,395
1997,21398.91,212,,
1991,18406.08,137,,
1992,22138.809,115,,
1993,28945.963,98,,
1994,33530.711,84,,
1995,49440.059,69,,
1996,58725.727,66,,
1997,74433.406,63,,
1998,166274.53,27,,
1999,152644.38,42,,
2000,172811,37,,
2001,208034.58,28,,
2002,200701.73,25,,
2003,207913.58,30,,
2004,208140.58,29,,
2005,206408.36,24,,
2005,29197.688,198,,
1991,5366.9355,390,,
1992,7118.3247,322,1908.8142,484
1993,7984.791,300,,
1994,7333.0869,342,,
1995,6527.5391,428,,
1991,6710.7949,331,9342.2412,15
1992,6873.5923,334,1870.3281,496
1993,6811.2002,356,2441.1677,448
1994,7068.8833,352,4049.155,256
1995,7889.3555,372,7119.3271,174
1996,6705.0269,466,6443.5259,241
1997,7563.2583,471,8940.3359,178
1998,8193.0244,487,8997.6826,236
1991,4500.1309,443,,
1992,4674.3091,467,,
1991,28285.83,87,2653.1572,220
1992,27447.252,91,4467.0063,130
1993,29619.787,97,2866.3301,367
1994,30726.559,96,4428.2866,221
1995,42513.188,83,3711.8215,415
1996,56798.73,70,3718.9717,483
1997,76205.477,59,,
1998,56963.379,92,,
1999,61917.52,118,18697.99,127
2000,86205.711,90,,
2001,66683.25,93,,
2002,68172.07,84,,
2003,73957.711,86,,
2004,75758.258,81,,
2005,89512.375,67,,
1991,4502.5811,442,,
1992,4567.6392,476,,
1993,4750.5508,490,,
1994,4816.4834,486,2824.6077,407
1991,9628.5449,255,,
1992,9569.9219,252,6586.728,70
1993,6768.2578,363,,
1994,6593.1479,373,,
1995,7083.6851,402,,
1991,3905.5847,488,,
1992,5793.8218,386,,
1993,6105.209,396,,
1994,6604.5645,371,,
1995,5642.167,480,,
1991,5094.458,401,,
2001,13828.212,372,,
2002,14740.938,336,,
2003,17408.217,340,,
2004,23689.619,271,,
2005,30767.559,188,,
1991,58449.102,34,5354.9629,68
1992,46012.684,53,7130.6011,63
1993,40710.031,66,6930.9438,98
1994,40511.641,65,8163.3433,69
1995,55907.027,58,4572.5532,313
1996,66624.172,55,10710.498,124
1997,106259.82,37,33849.176,17
1998,146654.16,33,18320.133,104
1999,138111.42,50,20981.5,106
2000,152412.72,46,12971.378,166
2001,114701.67,56,8671.5527,239
2002,58303.109,97,8809.041,197
2003,68829.57,96,8596.1797,240
2004,64267.781,101,,
2005,55055.086,109,,
2000,14159.068,391,,
2001,11023.294,438,,
2002,10017.35,452,,
2003,13350.094,421,,
2004,16978.045,375,,
2005,18945.244,303,,
1991,80934.57,18,,
1992,66588.383,29,,
1993,68056.773,33,,
1994,74729.102,32,,
1995,85683.672,28,,
1996,105831.25,29,,
1997,112202.64,32,,
1998,194418.02,18,,
