"educv","heightv","BMIv","healthv","consv","extrav","agreev","emov","autov","riskyv"
3,172,20.619253,3,0.346999,-0.502584,-0.529184,0.350563,-0.937585,-0.066294
2,168,21.967121,4,-0.064787,0.178857,-0.806572,-0.445839,-0.628009,-0.117906
3,165,25.711662,3,0.078951,-0.238336,-0.251796,0.449625,-0.628009,0.216251
2,169,16.456007,3,-1.020925,0.188039,0.321277,-0.187523,0.822137,0.302649
2,158,26.037495,4,-0.475116,0.065587,0.981145,0.468706,0.351746,0.278486
2,165,22.773186,3,-0.209253,0.623594,-0.146704,0.104947,0.155699,0.449403
2,160,19.140625,4,0.901065,1.163238,1.016607,0.745811,0.109821,0.185544
2,167,24.382374,3,-0.472202,-0.218007,1.258533,0.68814,0.605725,-1.758804
3,183,21.798203,4,0.634474,0.349181,1.258533,0.867009,0.407344,0.05236
2,180,21.604939,3,0.633017,-0.768798,0.513164,-0.048921,-0.132105,0.164647
2,162,22.481329,4,0.06098,0.615395,0.497294,-0.073073,-0.386083,0.270549
2,168,19.486961,4,0.61359,-0.625527,-0.790701,0.066537,-0.120052,0.216251
2,178,21.461937,4,-0.084943,0.31049,0.079351,-0.649145,0.270635,-1.261148
1,174,20.478266,3,-0.207068,1.305035,-0.648286,-0.57774,-0.433369,0.222385
2,167,31.553659,3,-1.00004,0.748011,-0.767388,0.162019,-0.631702,-0.137839
1,165,33.05785,4,-0.18764,-0.370951,-0.303129,-0.337059,-0.159904,-0.196994
2,164,33.462223,4,-0.475116,0.330818,0.235776,-0.704371,-0.386083,0.076019
2,172,23.661438,3,0.86221,1.712064,-0.525463,-1.216982,-1.235109,-0.103435
3,168,23.030045,4,0.737171,0.074769,1.379496,0.724397,0.782285,0.474702
2,180,25.617285,4,0.481023,0.320654,0.235776,-0.638526,0.022683,-0.070892
2,160,23.828125,4,0.101292,-0.52193,-0.735647,0.60333,-1.11186,0.020681
3,172,19.605192,3,0.633017,-0.786178,0.532756,0.372345,-0.120052,0.126423
2,168,18.424036,3,-1.70683,0.432941,-0.953201,-0.251648,-0.07646,-0.773158
1,158,21.631149,3,-0.773762,0.065587,0.339008,0.054438,0.518587,0.466602
2,181,21.366869,3,0.48928,0.746537,0.380545,0.281905,0.83419,0.329698
2,172,19.267172,3,-0.073772,-0.503567,-0.025741,-0.638314,-0.286893,0.325226
2,172,23.661438,0,0.490736,0.207384,-0.675813,-0.593932,-0.247041,-0.060847
2,178,20.515087,3,-0.752149,0.73883,-0.182166,0.168402,0.088048,0.078169
2,172,22.647377,3,0.902522,-1.335986,0.180722,0.212273,1.224878,0.201976
3,163,19.571682,3,0.192819,1.153565,-0.424092,-0.189441,0.155699,0.305156
2,178,23.04002,4,-1.020197,0.046733,0.200314,-0.117679,-0.144158,0.548367
2,178,22.09317,2,-0.475116,0.59605,-0.303129,-0.337035,-0.386083,-0.512063
2,162,20.195093,3,0.327571,-0.199644,1.258533,-0.565911,0.915301,0.22383
3,165,23.507805,4,0.358898,1.021932,0.198453,0.048225,-0.023195,0.296697
2,157,24.341759,4,1.178827,-1.337952,-0.277462,-0.163833,-0.280867,0.187257
2,177,23.939482,4,0.36934,0.311473,-1.048497,0.57866,-0.869934,-0.503808
2,179,18.726007,2,-0.046087,0.349181,0.84059,-0.364074,1.262443,-0.133112
2,167,29.043709,2,0.078951,0.34869,0.069555,-0.35812,0.701175,0.069641
1,163,29.7339,3,0.62476,0.747028,-1.08396,-0.029044,-0.40183,0.156261
2,165,22.038567,3,-0.741707,0.330818,0.735498,0.075521,0.351746,0.173864
2,173,21.383942,3,-0.351534,0.206893,-0.138768,-0.122423,0.1279,0.033551
1,179,23.719608,4,-0.762591,0.59605,-0.025741,-0.447817,-0.386083,0.373004
2,168,26.57313,3,0.337285,0.055914,-0.39049,0.019075,0.062535,0.270627
3,163,21.453573,3,-0.084943,-0.077193,-0.39049,-0.230283,-0.27484,-0.446091
