Dugommier;2640369;2.3889525722;48.8389122332;3396;3131
Daumesnil (Félix Eboué);5140492;2.3958459081;48.8393629125;3500;3028
Bel-Air;2249229;2.4012056271;48.8418961424;3581;2944
Picpus;1346859;2.4012551645;48.8452604479;3660;2863
La Courneuve-8-Mai-1945;5665476;2.4104554269;48.9209043594;3501;673
Fort d'Aubervilliers;3694272;2.4041771014;48.9146921997;3501;806
Aubervilliers Pantin (4 Chemins);6927817;2.3920219501;48.9038299162;3389;944
Porte de la Villette;3583870;2.3858061126;48.8978102191;3289;1047
Corentin-Cariou;3115884;2.3824455027;48.8949061258;3209;1129
Crimée;6800500;2.3768152895;48.8906811629;3142;1194
Riquet;2452712;2.3744874257;48.8881235581;3075;1264
Louis Blanc;2386942;2.3655569576;48.881026103;3014;1465
Château Landon;6879272;2.3622989086;48.8783126784;2931;1536
Poissonnière;3569568;2.349606239;48.8773395505;2480;1600
Cadet;3485034;2.3430589538;48.8754751871;2263;1631
Le Peletier;2258996;2.3398025382;48.8749360635;2189;1706
Chaussée d'Antin (La Fayette);7612896;2.3335011614;48.8728970366;2002;1902
Pyramides;2548384.5;2.3336650658;48.8669463021;1896;2165
Pont Neuf;1886611;2.3419492363;48.8584022525;2165;2374
Pont Marie (Cité des Arts);1695690;2.357458816;48.8533107455;2566;2517
Sully-Morland;1468391;2.3618669636;48.8510338404;2690;2642
Jussieu;4174050;2.3546915984;48.8458380895;2634;2951
Place Monge (Jardin des Plantes);2973319;2.352178451;48.8431960998;2545;3057
Censier-Daubenton;3566470;2.3514288121;48.8405358795;2545;3180
Les Gobelins;3603185;2.3516421736;48.8366105353;2630;3295
Tolbiac;3419771;2.3572419274;48.8265068988;2705;3529
Maison Blanche;2043760;2.3581886767;48.8226203194;2705;3614
Porte d'Italie;2432555;2.3598558027;48.8189346111;2828;3692
Porte de Choisy;3088532;2.3643464453;48.8201452158;2973;3692
Porte d'Ivry;1869444;2.3690949435;48.8212704975;3117;3692
Pierre et Marie Curie;1406411;2.377286623;48.8156836605;3215;3740
Mairie d'Ivry;2975244;2.3838082733;48.8111784269;3283;3812
Le Kremlin-Bicêtre;4360175;2.3616129501;48.8103806352;2707;3725
Villejuif-Léo Lagrange;2545252;2.3639435266;48.8041740664;2707;3820
Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse);2244984;2.3679661374;48.7959447271;2707;3914
Villejuif-Louis Aragon;6360814;2.3669747148;48.7870020157;2706;4009
Bolivar;581422;2.373977833;48.8805834299;3239;1514
Buttes-Chaumont;492601;2.3811293196;48.8777769835;3405;1544
Botzaris;996326;2.3887339915;48.8793377265;3494;1544
Danube;617424;2.3927020524;48.8820231366;3624;1437
Pré-Saint-Gervais;350959;2.3990768969;48.8799349564;3740;1527
Place des Fêtes;3180164;2.3934731351;48.8768191471;3623;1661
Pointe du Lac;2564228;2.4659898292;48.7679578711;;
Créteil-Préfecture (Hôtel de Ville);4674246;2.4591442675;48.7797484034;3887;4001
Créteil-Université;3522563;2.4514473975;48.7893506911;3888;3924
Créteil-L'Echat (Hôpital Henri Mondor);2465183;2.449061871;48.796462387;3888;3845
Maisons-Alfort-Les Juilliottes;2137509;2.4449910267;48.8031418698;3888;3765
Maisons-Alfort-Stade;1750437;2.4355822036;48.8084176209;3886;3685
Ecole Vétérinaire de Maisons-Alfort;3234540;2.4207563593;48.8151517943;3811;3605
Charenton-Ecoles;3111359;2.4140743468;48.8213638104;3711;3504
Liberté;2635279;2.4069255776;48.82583808;3611;3406
Porte de Charenton;1902697;2.3997010994;48.832525894;3541;3290
Porte Dorée;2822951;2.4060183531;48.8354388892;3635;3197
Michel Bizot;2043217;2.4029691612;48.836703367;3567;3095
Montgallet;1823041;2.3898021375;48.8442504626;3388;2918
Faidherbe-Chaligny;3073785;2.384274581;48.8502384504;3186;2715
Ledru-Rollin;3830872;2.3759453524;48.8511941202;2992;2636
Chemin Vert;1488841;2.3679345256;48.8575640615;2868;2412
Saint-Sébastien-Froissart;1804340;2.3670240953;48.8612805878;2866;2297
Filles du Calvaire;1832013;2.366453138;48.8633028923;2867;2176
Bonne Nouvelle;4932874;2.3486795697;48.8705587205;2505;1911
Grands Boulevards;7345811;2.3431970107;48.8714189082;2287;1911
Richelieu-Drouot;4114054;2.3390880994;48.8720139168;2127;1911
Madeleine;6889442;2.3251637003;48.8700643518;1546;2142
Invalides;7420581;2.3143570432;48.8616865405;1446;2463
La Tour-Maubourg;2096559;2.3095986448;48.8573850542;1339;2574
Ecole Militaire;4640723;2.3055438162;48.8545185491;1231;2718
Commerce;2996497;2.2933534501;48.8448111918;1231;3082
Félix Faure;1838532;2.2919978878;48.8429772289;1232;3207
Boucicaut;3106974;2.2876343175;48.8412408954;1187;3335
Lourmel;2424840;2.2817585233;48.8384881096;1094;3426
Balard;4287048;2.278218327;48.8362754635;977;3546
Mairie de Montreuil;6517125;2.4416562031;48.8623601851;3993;2272
Croix-de-Chavaux (Jacques Duclos);5198911;2.4360983031;48.8579269412;3929;2332
Robespierre;4394418;2.4235567389;48.8555640048;3867;2395
Porte de Montreuil;4906785;2.4104344487;48.8534495044;3808;2455
Maraichers;2807675;2.4062307212;48.8526633633;3745;2517
Buzenval;1896837;2.4010248254;48.8517360616;3686;2579
Rue des Boulets;2693345;2.3891428046;48.8521417734;3446;2523
Charonne;3980318;2.3852706478;48.8547662368;3369;2445
Voltaire (Léon Blum);5217446;2.3798839196;48.8578758429;3293;2370
Saint-Ambroise;2877583;2.3740976038;48.8612121033;3210;2286
Saint-Augustin;2947957;2.3204313965;48.8746742716;1645;1835
Miromesnil;5841806;2.3151991849;48.8737063841;1584;1914
Saint-Philippe du Roule;2840177;2.3098200938;48.8721798206;1492;1989
Alma-Marceau;4272042;2.3008833661;48.8646460307;1209;2273
Iéna;2383490;2.2937999591;48.8644728974;1014;2350
Rue de la Pompe (Avenue Georges Mandel);3093242;2.2776263299;48.8641004132;647;2350
La Muette;4328056;2.274117067;48.8579377399;607;2541
Ranelagh;2383384;2.2699797504;48.8553920308;607;2718
Jasmin;2047639;2.2679068138;48.8523396005;609;2890
Michel-Ange-Auteuil;2172312;2.2642974417;48.847740346;607;3061
Michel-Ange-Molitor;2091229;2.2620478642;48.8448674365;607;3178
Exelmans;2040930;2.2597366158;48.8424273379;608;3296
Porte de Saint-Cloud;5291193;2.256802515;48.8378883866;607;3401
Marcel Sembat;5916640;2.2440813883;48.8339143014;538;3493
Billancourt;2903875;2.2381099971;48.8319437593;466;3566
Pont de Sèvres;4701284;2.2302536479;48.8295929841;394;3637
Boulogne Pont de Saint-Cloud;3051796;2.2282112904;48.8407983651;318;3290
Boulogne-Jean-Jaurès;3797640;2.2388358502;48.8422216613;400;3211
Porte d'Auteuil;682814;2.2586478276;48.8480737823;481;3128
Eglise d'Auteuil;179058;2.2689009878;48.8471813582;743;3062
Javel-André-Citroen;2654991;2.2784549784;48.8461034638;931;3063
Charles Michels;4897053;2.2863323856;48.8463362741;1059;3029
Avenue Emile-Zola;1551758;2.2949380752;48.8469642746;1128;2959
Ségur;1735579;2.3078204185;48.8467524551;1505;3028
Duroc;3515234;2.316722857;48.8467835319;1653;2989
Vaneau;959858;2.3219343475;48.8488716625;1747;2899
Sèvres-Babylone;5387363;2.3258728629;48.8512043553;1839;2807
Mabillon;1892987;2.3354092889;48.8528181349;2065;2751
Cluny-La Sorbonne;2483282;2.3452215824;48.8510383641;2320;2751
Maubert-Mutualité;2480448;2.3485034297;48.8499086727;2425;2826
Cardinal-Lemoine;1713765;2.3514780732;48.8463912486;2501;2904
Chardon-Lagache;639607;2.2665416873;48.8447174018;682;3179
Mirabeau;1390817;2.2734059593;48.8473396417;796;3139
Mairie des Lilas;4681803;2.4162389352;48.8797989954;3992;1533
Telegraphe;2465718;2.3985900638;48.8753936354;3767;1672
Jourdain;3474999;2.3891930998;48.8751674277;3479;1671
Pyrenees;3404189;2.384889839;48.8738907818;3305;1671
Goncourt (Hôpital Saint-Louis);3517379;2.3712726501;48.8696803934;3049;1850
Rambuteau;4429945;2.3535049622;48.8614000355;2658;2242
Mairie d'Issy;4413172;2.2735039998;48.8248138109;1022;3856
Corentin-Celton;3447242;2.2793067037;48.8272434444;1112;3767
Porte de Versailles;6424182;2.2880027964;48.832461982;1289;3590
Convention;5614573;2.2968995828;48.8374696207;1376;3501
Vaugirard (Adolphe Chérioux);3850737;2.3009826399;48.8395680328;1482;3396
Volontaires;2610342;2.3080411456;48.8416970274;1587;3290
Falguière;965829;2.3174964687;48.8446378942;1755;3124
Notre-Dame des Champs;2058675;2.3288529681;48.8449178498;2032;3040
Rennes;1272544;2.3280830512;48.8480544329;1932;2902
Rue du Bac;2529823;2.3255688218;48.8557564722;1743;2712
Solférino;2534934;2.3226806222;48.8585512443;1636;2606
Assemblée Nationale;1142259;2.3206322378;48.8608996857;1542;2512
Trinité-d'Estienne d'Orves;2302331;2.3330580767;48.8765087932;1926;1648
Notre-Dame de Lorette;3002608;2.3384537104;48.8766256957;2146;1650
Saint-Georges;1286815;2.3375885122;48.8785085363;2194;1487
Abbesses;2555092;2.3387128117;48.8844176452;2196;1230
Lamarck-Caulaincourt;3094805;2.3388901365;48.8897560452;2193;1139
Jules Joffrin;4464152;2.3444646963;48.8924519922;2313;1120
Marx-Dormoy;3708018;2.3602058428;48.890302065;2800;1078
Porte de la Chapelle;2939078;2.3590915419;48.8980716717;2800;950
Front populaire;2287004;2.3657937639;48.9068910901;;
Saint-Denis-Universite;5261145;2.3623587582;48.9456254806;2683;387
Basilique de Saint-Denis;5434754;2.3594147175;48.9366033097;2625;445
Saint-Denis-Porte de Paris;3041907;2.3574101643;48.9296276098;2323;560
Carrefour-Pleyel;2987091;2.3432002491;48.9194552102;2069;618
Mairie de Saint-Ouen;3819193;2.3341630154;48.9120620157;1963;727
Garibaldi;3197736;2.331733276;48.9060316198;1856;832
Porte de Saint-Ouen;3776345;2.3288376697;48.8972510523;1754;956
Guy-Môquet;4602495;2.327226755;48.8924675161;1755;1081
La Fourche;2816140;2.3260386771;48.8873918956;1755;1218
Liège;1659751;2.3265172852;48.8795640572;1756;1489
Varenne;1552036;2.3155302335;48.8575166013;1446;2638
Saint-Francois-Xavier;1797081;2.3140345269;48.8518632148;1512;2848
Gaité;3134147;2.3225827798;48.8384911503;1949;3313
Pernéty;3282156;2.3176639582;48.8338169002;1889;3414
Plaisance;4821682;2.3140673448;48.8317625861;1787;3513
Porte de Vanves;4410283;2.3053401488;48.8276756893;1667;3635
Malakoff-Plateau de Vanves;3735305;2.2970150852;48.8231314025;1553;3746
Malakoff-Rue Etienne Dolet;1888784;2.2969989635;48.8146679725;1478;3823
Châtillon Montrouge;6109396;2.301248022;48.8103147676;1357;3946
Asnieres-Gennevilliers Les Courtilles;4126878;2.2840744717;48.9301634126;1111;412
Les Agnettes;2386282;2.2858275179;48.9229162321;1182;619
Gabriel-Péri;5278348;2.2949237642;48.9162335021;1250;687
Mairie de Clichy;7129195;2.3055660013;48.9036594416;1408;845
Porte de Clichy;4094794;2.3137383438;48.8943611611;1569;1007
Brochant;3471022;2.3200276516;48.8903794212;1659;1097
Pyramides;2548384.5;2.3336650658;48.8669463021;1896;2165
Cour Saint-Emilion;5805955;2.3876129884;48.8334843072;3363;3367
Bibliotheque-Francois Mitterrand;15840239;2.3760926117;48.8296059727;3277;3454
Olympiades;7000540;2.367297012;48.8268582997;3062;3532
Marne-la-Vallée Chessy;5078380;2.7830887536;48.8714327361;;
Val d'europe;3703646;2.7745865403;48.85519683;;
Bussy-Saint-Georges;2959323;2.7093381786;48.8368591173;;
Torcy;3631640;2.6557657975;48.8395400091;;
Lognes;1563658;2.6337600776;48.8390665707;;
Noisiel;2644814;2.6166282755;48.843493949;;
Noisy-Champs;4319444;2.5780118914;48.8426615529;;
Noisy-le-Grand (Mont d'Est);7098238;2.5479358608;48.8411187758;;
Bry-sur-Marne;2021786;2.5261890836;48.8443368633;;
Neuilly-Plaisance;5014436;2.5135219423;48.8533527868;;
Vincennes;6474243;2.4310666191;48.8472269351;4097;2694
Nation;4120752;2.3959499233;48.8483471801;3554;2664
Gare de Lyon;36404818;2.3740723;48.8447572696;3073;2939
Chatelet-Les Halles;26580053;2.34663294;48.8611491277;2406;2305
Auber;6352580;2.3297976143;48.8728028704;1809;2007
Charles de Gaulle-Etoile;9429351;2.2948251379;48.8740492795;1106;1869
La Défense (Grande Arche);30059436;2.237782942;48.8918864546;535;1282
Nanterre-Préfecture;23817046;2.223400844;48.8953636025;;
Nanterre-Université;5045960;2.2156858898;48.9012605333;;
Nanterre-Ville;3469961;2.1958088469;48.8952591635;;
Rueil-Malmaison;6302437;2.1709148202;48.8872296169;;
Chatou-Croissy;2050458;2.1551483543;48.8852963323;;
Le Vésinet-Centre;1236912;2.1347974215;48.8900154996;;
Le Vésinet-Le Pecq;2284313;2.1218694977;48.8984273175;;
Saint-Germain-en-Laye;4000603;2.0951389655;48.8983940003;;
Boissy-Saint-Léger;2315642;2.5052571881;48.7531009077;;
Sucy Bonneuil;2121295;2.5078446581;48.771127413;;
La Varenne-Chennevières;1871804;2.5129185763;48.7948325765;;
Champigny;3432922;2.5101417178;48.8069335512;;
Le Parc de Saint-Maur;2100682;2.4857502706;48.8050955266;;
Saint-Maur Créteil;3605382;2.4721127203;48.8062801804;;
Joinville-le-Pont;3564470;2.4638620137;48.8210036993;;
Nogent-sur-Marne;2771411;2.4721655181;48.8349751721;;
Fontenay-sous-Bois;2469377;2.4646528613;48.8437625065;;
Saint-Rémy-lès-Chevreuse;904642;2.0710744915;48.703067456;;
Courcelle-sur-Yvette;566605;2.0993609542;48.7002331731;;
Gif-sur-Yvette;711162;2.1369547383;48.6985407791;;
La Hacquinière;419554;2.1533841049;48.6949629338;;
Bures-sur-Yvette;662982;2.163116196;48.6959214089;;
Orsay-Ville;2230574;2.1823651067;48.6975300701;;
Le Guichet;856871;2.1917819885;48.7047418078;;
Lozère;757466;2.21133415;48.7062113004;;
Palaiseau Villebon;856892;2.2373650968;48.7079438633;;
Palaiseau;954855;2.2464605362;48.717991272;;
Massy-Palaiseau;8615200;2.2588119998;48.7244896946;;
Les Baconnets;1623880;2.2873271444;48.7394976208;;
Fontaine-Michalon;639164;2.2969858992;48.7437886833;;
Antony;6186694;2.3013137249;48.7547197228;;
La Croix-de-Berny;2975417;2.3041093421;48.7619694674;;
Parc de Sceaux;534550;2.3103178891;48.7706580159;;
Bourg-la-Reine;4202460;2.3122781905;48.7801183312;2098;4098
Bagneux;2034790;2.3211344661;48.7935073908;2168;4028
Arcueil-Cachan;3030454;2.3278264235;48.7989637452;2250;3949
Laplace;3224399;2.3334990532;48.8079249127;2298;3868
Gentilly;1917456;2.3407386664;48.8155735023;2297;3760
Cité Universitaire;6353921;2.3409839491;48.8199505116;2298;3633
Denfert-Rochereau;4332936;2.33189346;48.8335919036;2282;3298
Port Royal;3322322;2.3370368298;48.8389863698;2298;3123
Luxembourg;5441398;2.3406136122;48.8459336878;2297;2907
Saint-Michel Notre-Dame;7773356;2.3450175506;48.8526938691;2283;2627
Gare du Nord;48205117;2.3545491254;48.8800360157;2761;1427
Sceaux;701293;2.2972015228;48.7814354425;;
Fontenay-aux-Roses;1050781;2.2916402512;48.7877115246;;
Robinson;2057844;2.2811746066;48.780372878;;
