"educm","heightm","BMIm","healthm","consm","extram","agreem","emom","autom","riskym"
2,179,28.713211,3,-0.189097,0.329836,-0.045333,0.973909,0.673375,0.102968
2,184,25.106333,0,-0.227952,-0.492911,0.37261,-0.026822,0.298434,0.245244
3,191,23.025684,3,0.078951,-0.219973,-0.041612,-0.197986,0.685428,-0.025157
3,194,19.396322,4,-0.88763,-0.228663,-0.164435,-0.522963,-0.286893,0.081253
2,176,18.724174,3,0.078951,-0.767815,-0.283537,0.186892,-0.374031,-0.130459
2,177,26.493025,3,-1.032096,0.329836,-0.287258,-0.723095,0.121873,0.236944
2,184,25.106333,4,0.346999,-0.218007,0.493573,-0.03467,-0.453734,-0.145895
2,187,27.16692,3,-0.62031,0.055914,-0.00987,-0.13477,0.304461,0.415191
2,175,26.12245,2,0.058795,0.045259,-0.943405,-0.456233,-0.241015,-0.746445
3,176,22.275311,4,-0.084943,0.755718,-0.937331,-0.089185,0.006937,0.321178
1,182,23.849777,3,-0.741707,-0.502584,-0.78698,0.032765,-0.615956,0.276241
2,180,23.765432,3,-1.009754,-0.086866,-0.055129,0.57581,0.484762,0.114305
2,178,24.302486,3,-0.743163,-0.787161,-0.564646,-0.57962,0.62983,0.113396
1,170,26.98962,3,0.346999,1.429452,-0.505871,-0.048379,-1.365838,0.429072
2,172,27.041645,4,-0.189097,-0.769781,0.513164,1.112603,0.685428,0.508068
3,176,22.598141,4,0.201804,0.026896,0.130684,0.139659,0.056509,0.372685
2,180,29.320988,4,-1.009754,-1.052392,-0.025741,0.57807,0.121873,-0.795376
2,176,22.920971,3,0.346999,-0.371443,-0.432027,-0.192647,-0.253068,0.009589
2,176,25.180784,4,-0.18764,0.615395,-0.826164,0.315357,0.487048,0.193954
1,186,22.545959,4,-0.21751,0.169676,-0.293333,-0.155665,-0.098279,-0.049979
2,179,24.96801,3,-0.478029,-1.603183,1.032478,0.59566,0.728974,0.451445
3,179,26.21641,3,0.058066,1.571249,-1.137719,0.478259,0.362392,0.134331
3,187,22.305471,4,0.61359,-0.389314,-0.822443,-0.288996,-1.50114,0.249179
2,175,26.12245,3,-0.741707,-0.52193,0.981145,-0.091798,0.605725,0.385478
2,182,24.755465,3,0.346999,-0.237353,-0.006149,0.321704,-0.064454,0.42674
3,176,22.275311,3,-1.153492,0.481306,-0.408221,0.143493,0.155699,0.298198
3,178,22.408787,4,-0.147328,0.31049,1.52005,1.223028,0.772519,0.548411
2,192,23.60026,2,-0.208525,0.31049,-0.78698,-0.095324,-1.235109,0.323557
1,195,21.827745,4,0.099835,1.163238,-0.806572,-0.058513,-0.120052,0.669272
3,187,24.307243,4,0.498265,-1.469585,0.118535,1.15766,0.350339,0.252188
2,180,27.777779,3,-1.029182,-0.541275,-0.00987,-0.430509,-0.386083,0.084679
2,174,26.423571,3,0.881637,-0.503567,-0.525463,0.168571,-0.306379,-0.439839
2,186,28.326975,4,-0.353719,-0.748961,0.198453,0.082978,1.020517,0.134408
2,196,26.291128,3,0.306686,-1.05141,0.513164,0.104379,-0.640062,0.631981
2,186,19.655451,2,-0.332106,0.054932,0.233916,0.073875,0.115847,0.200272
3,188,20.937075,4,-0.741707,0.311473,0.790552,0.745456,-0.132105,0.117041
2,186,21.678806,3,0.346999,-0.767815,0.477702,-0.266043,0.264609,0.632298
2,179,21.534908,4,-0.886173,1.163238,-0.580517,-0.225684,-0.203496,0.380502
1,172,18.929152,3,-1.029182,0.215583,-0.191962,-0.064641,0.645576,0.593702
2,172,24.675501,4,-0.496,-0.74847,0.997016,-0.077734,0.915301,0.097396
2,205,23.081499,3,-0.990327,0.045259,-0.283537,-0.682516,-0.374031,0.268643
2,182,23.245985,3,-0.18764,0.349181,-1.032627,0.105158,-0.052401,0.592356
3,188,23.766411,3,-0.907057,-0.114901,0.105018,0.013796,-0.076507,0.147742
2,180,25.308641,3,-0.741707,-1.195172,0.06162,-0.542104,0.082021,0.577181
2,170,20.761246,3,-0.209253,-0.494877,0.37447,0.250826,-0.132105,0.009908
3,180,23.148148,3,-0.762591,-0.768798,0.770961,-0.031379,0.673375,0.347465
2,174,21.138855,4,-0.053616,-0.229645,-1.08396,-0.347856,-0.40183,0.152934
2,182,21.736506,3,0.366426,0.065587,-0.771109,0.581906,-1.489087,0.137532
2,178,23.355637,2,-0.752877,0.189021,-0.683748,-0.185193,-0.628009,0.011577
1,182,22.642193,4,0.498265,-0.238336,-0.527323,0.787151,-0.721173,-0.01928
2,184,25.697069,3,0.366426,0.046241,-0.283537,0.585739,-0.064454,0.294251
3,180,24.382715,4,-0.209981,0.046241,1.016607,0.984325,0.673375,0.760148
2,185,24.251278,3,0.06098,-0.502584,0.981145,0.703104,0.605725,0.722601
2,183,22.096807,4,1.169113,0.879644,0.513164,0.628495,-0.187703,0.313543
2,187,25.165146,2,0.058066,0.879644,1.258533,-1.089839,0.097768,0.28527
2,184,25.992439,2,-1.810984,-1.034029,1.012886,0.712696,0.351746,0.065991
2,182,22.642193,4,0.901065,-0.786178,1.016607,0.727771,0.982952,0.245889
2,186,23.413111,4,0.06098,0.614413,0.44224,-0.21264,0.605725,0.275598
2,187,22.877405,3,-0.218967,-0.360787,-0.164435,0.205953,0.248863,0.566695
2,170,24.913494,2,0.212246,-0.333734,-0.049547,-0.24966,-0.640062,-0.611952
2,182,27.472527,2,-0.60914,-0.351606,-0.053268,-0.189534,0.13762,-1.975964
2,178,31.561672,4,-0.741707,0.311473,0.251647,0.677133,-0.132105,0.440057
2,178,24.618103,2,-0.473659,-0.238336,-0.564646,-0.476724,-0.132105,0.582297
3,189,23.795527,4,-0.313407,-0.058338,-0.509592,0.986303,-0.953332,0.12667
2,189,27.994738,2,0.087208,-0.238336,-0.482065,1.080678,-0.857882,0.173864
2,175,26.12245,3,1.188541,-1.089118,0.548627,0.382761,-1.135966,0.594565
3,175,26.775511,4,-0.606954,-0.36177,0.087287,0.222356,-0.16593,0.346439
3,183,22.395414,4,0.345542,-0.522913,0.477702,0.574423,0.363799,0.33371
2,184,31.309074,3,-0.054345,0.61343,-0.658082,-0.4161,-0.368004,0.323463
1,186,25.147415,3,-0.094657,-0.484713,-0.40636,-0.139505,-0.092253,0.298339
2,188,25.46401,4,-0.18764,-0.786178,-0.545054,0.05838,-0.374031,0.136072
1,180,22.530865,3,0.50045,0.18853,-0.146704,0.455273,-0.324459,0.169894
2,184,24.515596,3,0.19209,-0.219481,-0.277462,0.2129,0.02871,0.422352
2,178,24.618103,4,0.080408,-0.767815,0.981145,-0.355477,0.661323,0.578362
3,173,24.056934,4,-0.762591,0.177383,0.059759,0.08325,0.73874,0.239853
2,187,20.589664,3,-1.430525,0.179348,0.164852,0.146239,1.014491,0.574712
2,177,24.89706,4,-0.208525,0.046241,-0.025741,-0.059292,0.121873,0.227641
3,180,19.444445,4,-0.743163,-0.503567,0.009722,1.244762,-0.374031,0.197488
3,187,19.731762,3,-0.761134,-0.067029,1.639153,0.857873,1.97476,-0.083916
2,182,20.830818,4,-0.362705,-0.095556,-0.582378,-0.242558,-0.038941,-0.26061
